,Missing_Count,Missing_Percentage
patient_weight_kg,379923,71.95511363636363
serious_flags,301106,57.02765151515151
patient_age_years,151509,28.694886363636364
month,0,0.0
year,0,0.0
report_id,0,0.0
serious,0,0.0
is_fatal,0,0.0
is_hospitalized,0,0.0
is_life_threat,0,0.0
is_disabling,0,0.0
reactions,0,0.0
quarter,0,0.0
receive_date,0,0.0
reaction_outcomes,0,0.0
primary_reaction,0,0.0
patient_recovered,0,0.0
num_reactions,0,0.0
drug_route,0,0.0
drug_indication,0,0.0
suspect_drug,0,0.0
brand_name,0,0.0
pharm_class,0,0.0
manufacturer,0,0.0
drug_count_category,0,0.0
num_drugs,0,0.0
age_group,0,0.0
patient_sex,0,0.0
country,0,0.0
report_age_days,0,0.0
