architecture,representation,family,node,support,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,f1_cognitive_fog,f1_neutral,f1_happiness,f1_sadness,f1_loneliness,f1_anxiety,f1_anger
hierarchy_a,tfidf,logistic_regression,level1,56,0.8392857142857143,0.7679894179894179,0.8583333333333334,0.8011764705882353,0.846218487394958,0.8235294117647058,0.7,,,,,
hierarchy_a,tfidf,logistic_regression,level2_emotion,40,0.725,0.7551948051948052,0.725,0.7025996810207336,0.7025996810207336,,,0.5454545454545454,0.5333333333333333,0.8421052631578947,0.8421052631578947,0.75
hierarchy_a,tfidf,linear_svm,level1,56,0.8571428571428571,0.8079365079365078,0.7999999999999999,0.8019607843137254,0.8579831932773109,0.8,0.7058823529411765,,,,,
hierarchy_a,tfidf,linear_svm,level2_emotion,40,0.825,0.8375180375180374,0.825,0.8214182515111308,0.8214182515111308,,,0.8,0.6666666666666666,0.8421052631578947,0.9411764705882353,0.8571428571428571
hierarchy_a,tfidf,calibrated_svm,level1,56,0.8035714285714286,0.9281045751633986,0.5416666666666666,0.6081918081918082,0.7630084201512773,0.4,0.5454545454545454,,,,,
hierarchy_a,tfidf,calibrated_svm,level2_emotion,40,0.775,0.781962481962482,0.775,0.7693174111749963,0.7693174111749963,,,0.8,0.6666666666666666,0.8421052631578947,0.8235294117647058,0.7142857142857143
hierarchy_b,tfidf,logistic_regression,level1,56,0.875,0.757602862254025,0.875,0.7948717948717949,0.8864468864468865,,0.6666666666666666,,,,,
hierarchy_b,tfidf,logistic_regression,level2_non_neutral,48,0.9375,0.8760683760683761,0.9125,0.892777364110201,0.9389426656738644,0.8235294117647058,,,,,,
hierarchy_b,tfidf,logistic_regression,level3_emotion,40,0.725,0.7551948051948052,0.725,0.7025996810207336,0.7025996810207336,,,0.5454545454545454,0.5333333333333333,0.8421052631578947,0.8421052631578947,0.75
hierarchy_b,tfidf,linear_svm,level1,56,0.875,0.7505050505050506,0.8229166666666667,0.7781550650820599,0.8828522920203735,,0.631578947368421,,,,,
hierarchy_b,tfidf,linear_svm,level2_non_neutral,48,0.9583333333333334,0.925,0.925,0.925,0.9583333333333334,0.875,,,,,,
hierarchy_b,tfidf,linear_svm,level3_emotion,40,0.825,0.8375180375180374,0.825,0.8214182515111308,0.8214182515111308,,,0.8,0.6666666666666666,0.8421052631578947,0.9411764705882353,0.8571428571428571
hierarchy_b,tfidf,calibrated_svm,level1,56,0.9107142857142857,0.9528301886792453,0.6875,0.7479747974797479,0.8926321203548925,,0.5454545454545454,,,,,
hierarchy_b,tfidf,calibrated_svm,level2_non_neutral,48,0.875,0.9347826086956521,0.625,0.6651162790697674,0.8418604651162792,0.4,,,,,,
hierarchy_b,tfidf,calibrated_svm,level3_emotion,40,0.775,0.781962481962482,0.775,0.7693174111749963,0.7693174111749963,,,0.8,0.6666666666666666,0.8421052631578947,0.8235294117647058,0.7142857142857143
hierarchy_a,minilm,logistic_regression,level1,56,0.7857142857142857,0.677078477078477,0.7666666666666666,0.7049358556207871,0.8030938402758363,0.6666666666666666,0.5714285714285714,,,,,
hierarchy_a,minilm,logistic_regression,level2_emotion,40,0.9,0.9064285714285715,0.9,0.8994444444444445,0.8994444444444445,,,1.0,0.8,0.8888888888888888,0.875,0.9333333333333333
hierarchy_a,minilm,linear_svm,level1,56,0.8392857142857143,0.7457875457875458,0.7583333333333333,0.7482419127988749,0.8414707655213983,0.6666666666666666,0.6666666666666666,,,,,
hierarchy_a,minilm,linear_svm,level2_emotion,40,0.9,0.9064285714285715,0.9,0.8994444444444445,0.8994444444444445,,,1.0,0.8,0.8888888888888888,0.875,0.9333333333333333
hierarchy_b,minilm,logistic_regression,level1,56,0.875,0.757602862254025,0.875,0.7948717948717949,0.8864468864468865,,0.6666666666666666,,,,,
hierarchy_b,minilm,logistic_regression,level2_non_neutral,48,0.8958333333333334,0.8046683046683047,0.8875,0.8359535201640464,0.9020277967646387,0.7368421052631579,,,,,,
hierarchy_b,minilm,logistic_regression,level3_emotion,40,0.9,0.9064285714285715,0.9,0.8994444444444445,0.8994444444444445,,,1.0,0.8,0.8888888888888888,0.875,0.9333333333333333
hierarchy_b,minilm,linear_svm,level1,56,0.8392857142857143,0.7211382113821139,0.8541666666666667,0.7537860283341475,0.8574220113057436,,0.6086956521739131,,,,,
hierarchy_b,minilm,linear_svm,level2_non_neutral,48,0.8333333333333334,0.7352941176470589,0.85,0.7641277641277642,0.8493038493038494,0.6363636363636364,,,,,,
hierarchy_b,minilm,linear_svm,level3_emotion,40,0.9,0.9064285714285715,0.9,0.8994444444444445,0.8994444444444445,,,1.0,0.8,0.8888888888888888,0.875,0.9333333333333333
