test,label,precision,recall,f1,support
original_frozen_381,happiness,0.6323529411764706,0.6935483870967742,0.6615384615384615,62
original_frozen_381,sadness,0.6181818181818182,0.53125,0.5714285714285714,64
original_frozen_381,loneliness,0.625,0.9090909090909091,0.7407407407407407,11
original_frozen_381,anxiety,0.7307692307692307,0.6440677966101694,0.6846846846846847,59
original_frozen_381,anger,0.5308641975308642,0.6935483870967742,0.6013986013986014,62
original_frozen_381,cognitive_fog,0.4375,0.3442622950819672,0.3853211009174312,61
original_frozen_381,neutral,0.3114754098360656,0.3064516129032258,0.3089430894308943,62
eldermeds_domain_140,happiness,1.0,0.95,0.9743589743589743,20
eldermeds_domain_140,sadness,0.8421052631578947,0.8,0.8205128205128205,20
eldermeds_domain_140,loneliness,0.782608695652174,0.9,0.8372093023255814,20
eldermeds_domain_140,anxiety,0.8888888888888888,0.8,0.8421052631578947,20
eldermeds_domain_140,anger,0.9333333333333333,0.7,0.8,20
eldermeds_domain_140,cognitive_fog,0.6956521739130435,0.8,0.7441860465116279,20
eldermeds_domain_140,neutral,0.6521739130434783,0.75,0.6976744186046512,20
