test,label,v3_f1,minilm_f1,difference,support
original,happiness,0.75,0.6615384615384615,-0.08846153846153848,62
original,sadness,0.6875,0.5714285714285714,-0.1160714285714286,64
original,loneliness,0.8695652173913043,0.7407407407407407,-0.12882447665056362,11
original,anxiety,0.7394957983193278,0.6846846846846847,-0.05481111363464308,59
original,anger,0.532258064516129,0.6013986013986014,0.06914053688247235,62
original,cognitive_fog,0.4552845528455284,0.3853211009174312,-0.06996345192809716,61
original,neutral,0.4615384615384615,0.3089430894308943,-0.15259537210756718,62
domain,happiness,0.4242424242424242,0.9743589743589743,0.5501165501165501,20
domain,sadness,0.4864864864864865,0.8205128205128205,0.33402633402633397,20
domain,loneliness,0.6666666666666666,0.8372093023255814,0.1705426356589148,20
domain,anxiety,0.5454545454545454,0.8421052631578947,0.2966507177033493,20
domain,anger,0.7555555555555555,0.8,0.04444444444444451,20
domain,cognitive_fog,0.55,0.7441860465116279,0.19418604651162785,20
domain,neutral,0.68,0.6976744186046512,0.017674418604651132,20
